ChieuCao,CanNang,Loai
176,96,1
182,98,1
166,62,0
159,53,0
178,66,0
166,92,1
171,60,0
177,95,1
170,94,1
181,68,0
182,94,1
163,65,0
166,60,0
153,65,0
164,60,0
167,93,1
178,95,1
179,96,1
175,93,1
168,58,0
168,64,0
174,99,1
187,98,1
161,63,0
161,64,0
173,94,1
161,60,0
182,88,1
185,90,1
161,61,0
168,94,1
188,100,1
184,86,1
176,97,1
169,63,0
175,88,1
160,66,0
193,89,1
188,99,1
176,93,1
151,62,0
181,60,0
171,93,1
179,99,1
183,96,1
155,56,0
159,60,0
190,95,1
186,94,1
174,98,1
190,90,1
191,93,1
169,94,1
164,61,0
170,92,1
164,63,0
168,62,0
159,67,0
182,96,1
168,62,0
171,63,0
173,67,0
172,61,0
178,91,1
182,84,1
163,93,1
162,61,0
171,57,0
159,62,0
174,96,1
178,96,1
181,92,1
165,54,0
163,62,0
176,61,0
181,94,1
176,94,1
186,65,0
176,64,0
188,90,1
169,64,0
175,91,1
179,56,0
164,67,0
157,64,0
175,63,0
168,65,0
172,66,0
183,96,1
181,96,1
168,64,0
181,96,1
161,61,0
162,61,0
168,61,0
172,95,1
173,92,1
191,96,1
167,69,0
171,96,1
177,93,1
163,57,0
183,96,1
162,62,0
165,63,0
164,61,0
158,61,0
186,60,0
185,91,1
178,63,0
184,89,1
185,100,1
171,69,0
158,58,0
187,89,1
178,96,1
180,89,1
181,96,1
184,62,0
179,94,1
183,92,1
156,68,0
195,98,1
180,94,1
179,95,1
163,60,0
154,62,0
176,60,0
165,90,1
167,91,1
167,61,0
170,60,0
182,63,0
173,94,1
181,93,1
167,65,0
152,59,0
178,99,1
179,93,1
178,85,1
163,59,0
182,84,1
173,90,1
180,95,1
170,98,1
166,95,1
173,62,0
177,89,1
169,91,1
167,67,0
171,89,1
183,58,0
172,94,1
176,95,1
164,91,1
183,61,0
186,96,1
182,90,1
170,81,1
153,60,0
164,64,0
165,90,1
175,68,0
167,63,0
193,93,1
152,63,0
159,63,0
173,58,0
188,99,1
165,61,0
177,93,1
158,60,0
173,65,0
178,93,1
181,96,1
161,88,1
